title,platform,developer,genre,rating,release_date,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg
Little Inferno,Wii U,Tomorrow Corporation,"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Action']",T,"Nov 18, 2012",79,Generally favorable reviews,17,5,0,7.5,Generally favorable reviews,51,20,9
Lone Survivor: The Director's Cut,Wii U,"Curve Studios, superflat games","['Action Adventure', 'Horror', 'Survival']",T,"Oct 16, 2014",76,Generally favorable reviews,5,2,0,8.0,Generally favorable reviews,12,2,2
Lost Reavers,Wii U,Bandai Namco Games,"['Action', 'Role-Playing', 'General', 'Action RPG']",T,"Apr 28, 2016",46,Generally unfavorable reviews,0,3,2,7.0,Mixed or average reviews,29,8,12
Lovely Planet,Wii U,QUICKTEQUILA,"['Action', 'Shooter', 'First-Person', 'Arcade']",E10+,"Apr  5, 2016",0,No score yet,0,3,0,tbd,No user score yet,1,0,0
Lucadian Chronicles,Wii U,Dark Roast Entertainment,"['Strategy', 'Miscellaneous', 'Turn-Based', 'Card Battle']",E10+,"Dec 11, 2014",0,No score yet,2,0,0,7.6,Generally favorable reviews,8,1,2
Lucentek - Activate,Wii U,Joseph Lucente,"['Action Adventure', 'General']",E10+,"Nov 19, 2015",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
Lucentek Beyond,Wii U,Joseph Lucente,"['Role-Playing', 'General']",E10+,"Feb  2, 2017",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Luv me Buddies Wonderland,Wii U,Oxygene,"['Miscellaneous', 'Party', 'Party / Minigame']",E,"May 29, 2014",0,No score yet,0,0,1,tbd,No user score yet,2,0,1
Madden NFL 13,Wii U,EA Tiburon,"['Sim', 'Sports', 'Traditional', 'Team', 'Football', 'Sim']",E,"Nov 13, 2012",75,Generally favorable reviews,6,3,0,7.0,Mixed or average reviews,21,7,7
Mahjong,Wii U,Sanuk Games,"['Miscellaneous', 'Board / Card Game']",E,"Oct 13, 2016",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Mahjong Deluxe 3,Wii U,EnsenaSoft,"['Miscellaneous', 'Board / Card Game']",E,"Mar 16, 2017",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Mario & Sonic at the Rio 2016 Olympic Games,Wii U,"Nintendo, Sega Sports R&D","['Sports', 'Individual', 'Athletics']",E10+,"Jun 24, 2016",65,Mixed or average reviews,7,17,2,7.7,Generally favorable reviews,63,18,12
Mario & Sonic at the Sochi 2014 Olympic Winter Games,Wii U,"Nintendo, Sega Sports R&D","['Sports', 'Olympic Sports', 'Olympic Sports', 'Individual', 'Athletics']",E,"Nov 15, 2013",55,Mixed or average reviews,0,31,8,6.5,Mixed or average reviews,37,27,20
Mario Kart 8,Wii U,Nintendo,"['Driving', 'Racing', 'Arcade', 'Kart', 'Kart', 'Automobile']",E,"May 30, 2014",88,Generally favorable reviews,80,2,0,8.8,Generally favorable reviews,"1,775",87,131
Mario Kart 8 DLC Pack 1,Wii U,Nintendo,"['Driving', 'Racing', 'Arcade', 'Kart', 'Automobile']",E,"Nov 13, 2014",87,Generally favorable reviews,7,0,0,8.9,Generally favorable reviews,359,10,29
Mario Kart 8 DLC Pack 2,Wii U,Nintendo,"['Driving', 'Kart', 'Racing', 'Arcade', 'Automobile']",E,"Apr 23, 2015",90,Universal acclaim,11,0,0,8.8,Generally favorable reviews,269,12,27
Mario Party 10,Wii U,"Nintendo, Nd Cube","['Party', 'Miscellaneous', 'Party / Minigame']",E,"Mar 20, 2015",66,Mixed or average reviews,20,44,2,6.4,Mixed or average reviews,164,131,90
Mario Tennis: Ultra Smash,Wii U,"Nintendo, Camelot Software Planning","['Sports', 'Individual', 'Tennis']",E,"Nov 20, 2015",58,Mixed or average reviews,2,47,9,5.1,Mixed or average reviews,47,63,79
Mario vs. Donkey Kong: Tipping Stars,Wii U,"Nintendo, Nintendo Software Technology","['Puzzle', 'Action', 'Platformer', '2D']",E,"Mar  5, 2015",70,Mixed or average reviews,10,16,0,7.5,Generally favorable reviews,49,13,11
Marvel Avengers: Battle for Earth,Wii U,Ubisoft Quebec,"['Action', 'General', 'General', 'Fighting', '3D']",T,"Dec  4, 2012",50,Mixed or average reviews,0,6,4,5.6,Mixed or average reviews,11,6,13
Masked Forces,Wii U,R.G.B. SRL,"['Action', 'Shooter', 'First-Person', 'Tactical']",M,"May 31, 2018",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Mass Effect 3: Special Edition,Wii U,Straight Right,"['Action RPG', 'Role-Playing', 'Action RPG']",M,"Nov 13, 2012",85,Generally favorable reviews,32,1,0,7.4,Mixed or average reviews,176,25,51
Master Reboot,Wii U,Wales Interactive,"['Miscellaneous', 'Puzzle', 'General']",T,"Jul 24, 2014",64,Mixed or average reviews,0,6,0,5.9,Mixed or average reviews,4,1,3
Maze,Wii U,"TreeFallStudios, TreeFall Studios","['Adventure', 'Puzzle', 'General', '3D', 'First-Person']",E,"Jan  8, 2015",29,Generally unfavorable reviews,0,0,4,1.6,Overwhelming dislike,1,0,6
Maze Break,Wii U,nuGAME,"['Action', 'Arcade']",E,"Feb 23, 2017",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Mega Maze,Wii U,Chronova,"['Adventure', 'Puzzle', 'General', '3D', 'First-Person']",E,"Jan 19, 2017",0,No score yet,0,1,1,tbd,No user score yet,0,1,1
Meme Run,Wii U,Ninja Pig Studios,"['Action', 'Platformer', 'Fighting', '2D']",E,"Dec 18, 2014",0,No score yet,0,0,2,4.0,Generally unfavorable reviews,22,2,37
Midnight,Wii U,Vilmos Gyokeres,"['Action', 'Platformer', '2D']",E,"Jan 22, 2015",60,Mixed or average reviews,0,3,1,tbd,No user score yet,0,0,1
Midnight 2,Wii U,Petite Games,"['Puzzle', 'Action']",E,"May  5, 2016",0,No score yet,0,1,0,tbd,No user score yet,0,1,0
Midtown Crazy Race,Wii U,Jose Varela,"['Driving', 'Racing', 'Simulation', 'Arcade', 'GT / Street', 'Automobile']",T,"Aug 21, 2014",0,No score yet,0,0,3,6.8,Mixed or average reviews,2,1,1
Mighty No. 9,Wii U,Inti Creates,"['Platformer', '2D', 'Action', 'Platformer', '2D']",E10+,"Jun 21, 2016",48,Generally unfavorable reviews,0,7,2,4.6,Generally unfavorable reviews,41,9,60
Mighty Switch Force! 2,Wii U,WayForward,"['Action', 'Platformer', 'Platformer', '2D', '2D']",E10+,"Oct 17, 2013",74,Mixed or average reviews,3,2,0,7.4,Mixed or average reviews,12,7,3
Mighty Switch Force! Hyper Drive Edition,Wii U,WayForward,"['Action', 'Platformer', 'Platformer', '2D', '2D']",E10+,"Nov 18, 2012",80,Generally favorable reviews,16,3,0,7.8,Generally favorable reviews,47,15,6
Miko Mole,Wii U,EnsenaSoft,"['Action', 'Puzzle', 'General', 'Platformer', '2D']",T,"Mar 30, 2017",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
MikroGame: Rotator,Wii U,Studio de la Torre,"['Action', 'Arcade']",E,"Aug 18, 2016",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Minecraft: Story Mode - A Telltale Games Series,Wii U,Telltale Games,"['Adventure', 'Point-and-Click']",,TBA,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
