title,platform,developer,genre,rating,release_date,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score,real_date
Cursed to Golf,PlayStation 5,Chuhai Labs,"['Sports', 'Individual', 'Golf', 'Arcade']",E,"Aug 18, 2022",,74,Mixed or average reviews,5,4,0,0.0,No user score yet,1.0,0.0,2.0,0.0,2022-08-18
Curved Space,PlayStation 5,Only By Midnight,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",E10+,"Jun 29, 2021",,59,Mixed or average reviews,0,7,1,6.0,Mixed or average reviews,2.0,2.0,1.0,60.0,2021-06-29
CUTIES HACKED: Oh no someone stole my photos!,PlayStation 5,Somequest Sp. z o. o.,"['Action', 'Puzzle', 'General', 'Arcade']",M,"Oct  5, 2022",,0,No score yet,0,0,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2022-10-05
Cyber Shadow,PlayStation 5,Yacht Club Games,"['Action', 'Platformer', '2D']",E10+,"Jan 26, 2021",,77,Generally favorable reviews,7,2,0,6.6,Mixed or average reviews,7.0,1.0,3.0,66.0,2021-01-26
CyberHeroes Arena DX,PlayStation 5,9Ratones,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",E10+,"Feb 17, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-02-17
Cyberpunk 2077,PlayStation 5,CD Projekt Red Studio,"['Role-Playing', 'Action RPG']",M,"Feb 15, 2022",,75,Generally favorable reviews,5,2,0,7.1,Mixed or average reviews,660.0,62.0,231.0,71.0,2022-02-15
Dakar Desert Rally,PlayStation 5,Saber Interactive,"['Racing', 'Simulation', 'Other', 'Automobile']",E,"Oct  4, 2022",,69,Mixed or average reviews,4,7,0,6.7,Mixed or average reviews,8.0,4.0,3.0,67.0,2022-10-04
Dandy & Randy DX,PlayStation 5,"Asteristic Game Studio, Ratalaika Games","['Action Adventure', 'Adventure', 'General']",E10+,"Apr 29, 2022",,0,No score yet,1,0,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2022-04-29
Darker Skies,PlayStation 5,Steel Arts Software,"['Action Adventure', 'Survival']",M,"Aug 25, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,2.0,0.0,2021-08-25
Darkwood,PlayStation 5,"Crunching Koalas, Acid Wizard Studio","['Action Adventure', 'Survival']",M,"Oct 28, 2022",,0,No score yet,2,1,0,0.0,No user score yet,2.0,0.0,0.0,0.0,2022-10-28
DARQ: Complete Edition,PlayStation 5,Unfold Games,"['Action Adventure', 'Adventure', 'General', 'Linear']",T,"Mar 25, 2021",,74,Mixed or average reviews,5,4,0,6.1,Mixed or average reviews,4.0,1.0,2.0,61.0,2021-03-25
