title,platform,developer,genre,rating,release_date,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score,real_date
F1 Race Stars: Powered Up Edition,Wii U,Codemasters,"['Driving', 'Racing', 'Arcade', 'Formula One', 'Formula One', 'Automobile']",E,"Jan 16, 2014",61,Mixed or average reviews,1,6,1,6.9,Mixed or average reviews,11.0,7,4,69.0,2014-01-16
Factotum,Wii U,TACS Games,"['Puzzle', 'Action']",E,"Aug 20, 2015",0,No score yet,0,2,1,0.0,No user score yet,0.0,1,0,0.0,2015-08-20
Falling Skies: The Game,Wii U,Little Orbit,"['Action', 'Strategy', 'Turn-Based', 'General', 'Tactics']",T,"Oct 30, 2014",39,Generally unfavorable reviews,0,1,4,2.4,Generally unfavorable reviews,1.0,0,4,24.0,2014-10-30
Family Party: 30 Great Games Obstacle Arcade,Wii U,"Art Co., Ltd.","['Miscellaneous', 'Party', 'Party', 'Party / Minigame']",E,"Dec  4, 2012",11,Overwhelming dislike,0,0,8,2.7,Generally unfavorable reviews,50.0,0,146,27.0,2012-12-04
Family Tennis SP,Wii U,Arc System Works,"['Sports', 'Traditional', 'Team', 'Individual', 'Tennis']",E,"Jan 15, 2015",0,No score yet,0,2,1,0.0,No user score yet,1.0,0,0,0.0,2015-01-15
Fast & Furious: Showdown,Wii U,"Activision, Firebrand Games","['Driving', 'Racing', 'Arcade', 'GT / Street', 'GT / Street', 'Automobile']",T,"May 21, 2013",0,No score yet,0,0,1,2.2,Generally unfavorable reviews,4.0,2,20,22.0,2013-05-21
FAST Racing NEO,Wii U,Shin'en,"['Driving', 'Racing', 'Arcade', 'Futuristic']",E,"Dec 10, 2015",81,Generally favorable reviews,40,6,0,8.5,Generally favorable reviews,148.0,16,10,85.0,2015-12-10
Fat City,Wii U,Heavy Iron Studios,"['Puzzle', 'Action']",E10+,"Jun 18, 2015",0,No score yet,1,0,0,0.0,No user score yet,1.0,0,0,0.0,2015-06-18
Fat Dragons,Wii U,Nostatic Software,"['Action', 'Platformer', '2D']",E,"Feb 22, 2018",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0,0.0,2018-02-22
Fatal Frame: Maiden of Black Water,Wii U,Koei Tecmo Games,"['Action', 'General', 'Horror', 'Action Adventure', 'Survival']",M,"Oct 22, 2015",67,Mixed or average reviews,25,29,4,8.0,Generally favorable reviews,217.0,32,41,80.0,2015-10-22
FIFA Soccer 13,Wii U,Electronic Arts,"['Sim', 'Sports', 'Traditional', 'Team', 'Soccer', 'Sim']",E,"Nov 13, 2012",69,Mixed or average reviews,13,13,2,6.5,Mixed or average reviews,34.0,11,16,65.0,2012-11-13
FIFTEEN,Wii U,RCMADIAX,"['Puzzle', 'Logic']",E,"May  4, 2017",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0,0.0,2017-05-04
Fire: Ungh's Quest,Wii U,Daedalic Entertainment,"['Puzzle', 'Action']",,"Oct 20, 2016",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0,0.0,2016-10-20
Fist of the North Star: Ken's Rage 2,Wii U,Koei,"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D', '3D']",M,"Feb  7, 2013",40,Generally unfavorable reviews,0,2,2,7.1,Mixed or average reviews,20.0,5,8,71.0,2013-02-07
Fit Music for Wii U,Wii U,Reward Studios,"['Miscellaneous', 'Exercise / Fitness']",E,"May 22, 2014",0,No score yet,0,0,2,0.0,No user score yet,2.0,0,1,0.0,2014-05-22
Flapp & Zegeta,Wii U,DenySoft,"['Action', 'General', 'Arcade']",E,"Nov  6, 2014",0,No score yet,0,0,2,3.9,Generally unfavorable reviews,3.0,0,5,39.0,2014-11-06
Flight of Light,Wii U,Crystalline Green Ltd.,"['Racing', 'Arcade', 'Futuristic']",E,"Aug  3, 2017",0,No score yet,0,0,1,0.0,No user score yet,0.0,0,1,0.0,2017-08-03
Flowerworks HD: Follie's Adventure,Wii U,Nocturnal Entertainment,"['Action', 'Adventure', 'General']",E,"Apr 17, 2014",0,No score yet,0,3,0,0.0,No user score yet,0.0,0,1,0.0,2014-04-17
Forest Escape,Wii U,RandomSpin,"['Action Adventure', 'Survival']",T,"Aug  2, 2018",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0,0.0,2018-08-02
forma.8,Wii U,MixedBag,"['Action', 'Action Adventure', 'Platformer', 'Open-World', '2D', 'Metroidvania']",E10+,"Feb 23, 2017",0,No score yet,1,1,0,0.0,No user score yet,1.0,1,0,0.0,2017-02-23
Frederic: Resurrection of Music,Wii U,"Forever Entertainment S.A., Forever Entertainment","['Action', 'Miscellaneous', 'Rhythm', 'Music']",T,"Jul 31, 2014",0,No score yet,0,1,0,0.0,No user score yet,2.0,0,0,0.0,2014-07-31
Free Balling,Wii U,Skunk Software,"['Action', 'Arcade']",E,"Sep  1, 2016",0,No score yet,0,0,1,0.0,No user score yet,0.0,0,1,0.0,2016-09-01
