title,platform,developer,genre,rating,release_date,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score,real_date
Arkan: The dog adventurer,Xbox Series X,"Sometimes You, Taverna Game Studio","['Action', 'Platformer', '2D']",E10+,"Sep 15, 2021",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2021-09-15
Arkanoid: Eternal Battle,Xbox Series X,Pasta Games,"['Action', 'Arcade']",E,"Oct 27, 2022",68,Mixed or average reviews,2,2,0,0.0,No user score yet,1.0,0,0.0,0.0,2022-10-27
Arma Reforger,Xbox Series X,Bohemia Interactive,"['Action', 'Shooter', 'First-Person', 'Tactical']",M,"May 17, 2022",0,No score yet,0,0,0,0.0,No user score yet,1.0,1,1.0,0.0,2022-05-17
Armed Emeth,Xbox Series X,"Kemco, Hit-Point Co., Ltd.","['Role-Playing', 'Japanese-Style']",E10+,"Aug  6, 2021",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2021-08-06
Arsonist Heaven,Xbox Series X,OMEGACORE,"['Action', 'Platformer', '2D']",E10+,"Jul 27, 2022",0,No score yet,0,1,1,0.0,No user score yet,0.0,1,1.0,0.0,2022-07-27
art of rally,Xbox Series X,Funselektor Labs Inc.,"['Racing', 'Arcade', 'Automobile']",E,"Aug 12, 2021",80,Generally favorable reviews,4,2,0,7.1,Mixed or average reviews,13.0,7,3.0,71.0,2021-08-12
As Dusk Falls,Xbox Series X,INTERIOR/NIGHT,"['Adventure', 'General']",M,"Jul 19, 2022",77,Generally favorable reviews,51,21,2,7.7,Generally favorable reviews,180.0,35,40.0,77.0,2022-07-19
Asdivine Cross,Xbox Series X,"Kemco, EXE Create","['Role-Playing', 'Japanese-Style']",E10+,"Mar  5, 2021",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2021-03-05
Asdivine Saga,Xbox Series X,"Kemco, EXE Create","['General', 'Role-Playing', 'Japanese-Style']",E10+,"Sep 30, 2021",0,No score yet,1,0,0,0.0,No user score yet,0.0,0,1.0,0.0,2021-09-30
Asphalt 9: Legends,Xbox Series X,Gameloft,"['Racing', 'Arcade', 'Automobile']",E10+,"Sep  1, 2021",0,No score yet,0,0,0,7.5,Generally favorable reviews,4.0,1,1.0,75.0,2021-09-01
Assassin's Creed Valhalla,Xbox Series X,Ubisoft Montreal,"['Action Adventure', 'Open-World']",M,"Nov 10, 2020",84,Generally favorable reviews,41,5,0,7.7,Generally favorable reviews,776.0,84,208.0,77.0,2020-11-10
Assassin's Creed Valhalla - Discovery Tour: Viking Age,Xbox Series X,Ubisoft Montreal,"['Action Adventure', 'Open-World']",E,"Jun 14, 2022",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2022-06-14
Assassin's Creed Valhalla: Dawn of Ragnarok,Xbox Series X,Ubisoft Sofia,"['Action Adventure', 'Open-World']",M,"Mar 10, 2022",74,Mixed or average reviews,7,2,0,7.9,Generally favorable reviews,34.0,1,9.0,79.0,2022-03-10
Assassin's Creed Valhalla: Dawn of Ragnarok Edition,Xbox Series X,Ubisoft Montreal,"['Action Adventure', 'Open-World']",M,"Mar 10, 2022",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2022-03-10
Assassin's Creed Valhalla: The Last Chapter,Xbox Series X,Ubisoft Montreal,"['Action Adventure', 'Open-World']",,"Nov 29, 2022",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2022-11-29
Assassin's Creed Valhalla: The Siege of Paris,Xbox Series X,Ubisoft Singapore,"['Action Adventure', 'Open-World']",M,"Aug 12, 2021",69,Mixed or average reviews,2,5,0,6.4,Mixed or average reviews,6.0,3,4.0,64.0,2021-08-12
Assassin's Creed Valhalla: Tombs of the Fallen,Xbox Series X,Ubisoft Montreal,"['Action Adventure', 'Open-World']",,"Nov  9, 2021",0,No score yet,0,0,0,0.0,No user score yet,0.0,1,0.0,0.0,2021-11-09
Assassin's Creed Valhalla: Wrath of the Druids,Xbox Series X,Ubisoft Bordeaux,"['Action Adventure', 'Open-World']",,"May 13, 2021",73,Mixed or average reviews,11,11,0,7.4,Mixed or average reviews,10.0,5,2.0,74.0,2021-05-13
Assassin's Creed's Crossover Stories,Xbox Series X,Ubisoft Montreal,"['Action Adventure', 'Open-World']",M,"Dec 14, 2021",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2021-12-14
Assetto Corsa Competizione,Xbox Series X,505 Games,"['Racing', 'Simulation', 'Automobile']",E,"Feb 22, 2022",0,No score yet,0,2,0,6.1,Mixed or average reviews,2.0,6,1.0,61.0,2022-02-22
Asterigos: Curse of the Stars,Xbox Series X,Acme Gamestudio,"['Role-Playing', 'Action Adventure', 'Action RPG', 'Open-World']",T,"Oct 11, 2022",75,Generally favorable reviews,4,3,0,5.0,Mixed or average reviews,10.0,1,10.0,50.0,2022-10-11
Asterix & Obelix XXXL: The Ram From Hibernia,Xbox Series X,OSome Studio,"['Action Adventure', 'General']",E10+,"Oct 27, 2022",0,No score yet,0,2,0,0.0,No user score yet,0.0,2,0.0,0.0,2022-10-27
Asteroids: Recharged,Xbox Series X,"SneakyBox, Adamvision Studios","['Action', 'Arcade']",E,"Dec 14, 2021",0,No score yet,0,2,0,0.0,No user score yet,0.0,0,1.0,0.0,2021-12-14
Astria Ascending,Xbox Series X,Artisan Studios,"['Role-Playing', 'Japanese-Style']",T,"Sep 30, 2021",67,Mixed or average reviews,1,3,1,4.8,Generally unfavorable reviews,1.0,0,3.0,48.0,2021-09-30
Astronite,Xbox Series X,Dume Games Studio,"['Action', 'Platformer', 'Metroidvania']",E10+,"Nov 30, 2022",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2022-11-30
Atari 50: The Anniversary Celebration,Xbox Series X,Digital Eclipse,"['Miscellaneous', 'Compilation']",T,"Nov 11, 2022",87,Generally favorable reviews,9,0,0,0.0,No user score yet,1.0,0,0.0,0.0,2022-11-11
Atomic Heart,Xbox Series X,Mundfish,"['Action', 'Shooter', 'First-Person', 'Arcade']",M,"Feb 21, 2022",73,Mixed or average reviews,10,9,1,6.8,Mixed or average reviews,208.0,8,97.0,68.0,2022-02-21
Autobahn Police Simulator 3,Xbox Series X,Z-Software,"['Simulation', 'Virtual', 'Career']",,"Jun 23, 2022",0,No score yet,0,0,1,0.0,No user score yet,0.0,0,1.0,0.0,2022-06-23
Autonauts,Xbox Series X,Denki,"['Strategy', 'Management', 'Government']",E,"Jun 16, 2022",0,No score yet,2,0,0,0.0,No user score yet,0.0,0,1.0,0.0,2022-06-16
Avenging Spirit,Xbox Series X,"Ratalaika Games, City Connection","['Action', 'Platformer', '2D']",E10+,"Jul 29, 2022",0,No score yet,1,1,0,0.0,No user score yet,1.0,1,0.0,0.0,2022-07-29
Ayo the Clown,Xbox Series X,Cloud M1,"['Action', 'Platformer', '2D']",E,"Apr 22, 2022",0,No score yet,1,1,0,0.0,No user score yet,1.0,1,0.0,0.0,2022-04-22
Aztech: Forgotten Gods,Xbox Series X,Lienzo,"['Action Adventure', 'General']",T,"Mar 10, 2022",63,Mixed or average reviews,1,4,0,0.0,No user score yet,0.0,1,0.0,0.0,2022-03-10
Back 4 Blood,Xbox Series X,Turtle Rock Studios,"['Action', 'Shooter', 'First-Person', 'Arcade']",M,"Oct  7, 2021",74,Mixed or average reviews,25,15,0,6.3,Mixed or average reviews,104.0,33,65.0,63.0,2021-10-07
Back 4 Blood: Children of the Worm,Xbox Series X,Turtle Rock Studios,"['Action', 'Shooter', 'First-Person', 'Arcade']",,"Aug 30, 2022",0,No score yet,0,0,0,0.0,No user score yet,1.0,0,0.0,0.0,2022-08-30
Back 4 Blood: River of Blood,Xbox Series X,Turtle Rock Studios,"['Action', 'Shooter', 'First-Person', 'Arcade']",M,"Dec  6, 2022",0,No score yet,0,1,0,0.0,No user score yet,1.0,1,0.0,0.0,2022-12-06
Back 4 Blood: Tunnels of Terror,Xbox Series X,Turtle Rock Studios,"['Action', 'Shooter', 'First-Person', 'Arcade']",M,"Apr 12, 2022",0,No score yet,1,2,0,0.0,No user score yet,1.0,2,0.0,0.0,2022-04-12
Backbone,Xbox Series X,EggNut,"['Adventure', 'General']",M,"Oct 28, 2021",0,No score yet,1,0,0,7.1,Mixed or average reviews,4.0,5,1.0,71.0,2021-10-28
Backfirewall_,Xbox Series X,Naraven Games,"['Adventure', 'General', '3D', 'First-Person']",T,"Jan 30, 2023",83,Generally favorable reviews,4,0,0,0.0,No user score yet,0.0,1,0.0,0.0,2023-01-30
Bai Qu: Hundreds of Melodies,Xbox Series X,"Magenta Factory, Ratalaika Games","['Adventure', 'Visual Novel']",T,"Jul  9, 2021",0,No score yet,0,0,1,0.0,No user score yet,1.0,0,0.0,0.0,2021-07-09
Balan Wonderworld,Xbox Series X,"Square Enix, Arzest, Balan Company","['Action', 'Platformer', '3D']",E10+,"Mar 26, 2021",47,Generally unfavorable reviews,0,5,6,7.1,Mixed or average reviews,113.0,2,48.0,71.0,2021-03-26
Baldur's Gate: Dark Alliance II,Xbox Series X,Black Isle Studios,"['Role-Playing', 'Action RPG']",T,"Jul 20, 2022",0,No score yet,1,1,1,0.0,No user score yet,1.0,1,1.0,0.0,2022-07-20
Ball laB,Xbox Series X,Viktor Yurchuk,"['Action', 'Puzzle', 'Platformer', '2D']",E,"Dec  8, 2021",0,No score yet,0,2,0,0.0,No user score yet,0.0,2,0.0,0.0,2021-12-08
Ballotron Oceans,Xbox Series X,Cool-Two Interactive,"['Action', 'Arcade']",E,"Jan 13, 2023",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2023-01-13
Barry the Bunny,Xbox Series X,"Ratalaika Games, lightUp","['Action', 'Platformer', '2D']",E,"Aug 13, 2021",0,No score yet,0,2,0,0.0,No user score yet,0.0,1,0.0,0.0,2021-08-13
Bassmaster Fishing 2022,Xbox Series X,Dovetail Games,"['Sports', 'Individual', 'Nature', 'Fishing']",E,"Oct 28, 2021",0,No score yet,1,1,0,0.0,No user score yet,0.0,0,1.0,0.0,2021-10-28
Bassmaster Fishing 2022: Super Deluxe Edition,Xbox Series X,Dovetail Games,"['Sports', 'Individual', 'Nature', 'Fishing']",E,"Oct 31, 2022",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,1.0,0.0,2022-10-31
Batora: Lost Haven,Xbox Series X,Stormind Games,"['Role-Playing', 'Action RPG']",T,"Oct 20, 2022",76,Generally favorable reviews,3,1,0,7.3,Mixed or average reviews,7.0,0,3.0,73.0,2022-10-20
Battle Brothers,Xbox Series X,Overhype Studios,"['Strategy', 'Turn-Based', 'Tactics']",T,"Jan 13, 2022",0,No score yet,1,0,0,0.0,No user score yet,1.0,0,0.0,0.0,2022-01-13
Battlefield 2042,Xbox Series X,EA DICE,"['Action', 'Shooter', 'First-Person', 'Tactical']",M,"Nov 12, 2021",64,Mixed or average reviews,3,11,3,2.3,Generally unfavorable reviews,95.0,41,500.0,23.0,2021-11-12
Beacon Pines,Xbox Series X,Hiding Spot,"['Adventure', 'General']",T,"Sep 22, 2022",88,Generally favorable reviews,4,0,0,7.3,Mixed or average reviews,6.0,2,2.0,73.0,2022-09-22
Beat Me!,Xbox Series X,Red Limb Studio,"['Miscellaneous', 'Party / Minigame']",E10+,"Nov 13, 2020",0,No score yet,0,0,1,0.0,No user score yet,0.0,0,1.0,0.0,2020-11-13
Beat Souls,Xbox Series X,Zoo Corporation,"['Action', 'Rhythm', 'Music']",E,"Feb 16, 2022",68,Mixed or average reviews,2,2,0,0.0,No user score yet,0.0,1,0.0,0.0,2022-02-16
BeeFense BeeMastered,Xbox Series X,ByteRockers' Games,"['Strategy', 'Real-Time', 'Defense']",E10+,"Jun 24, 2021",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2021-06-24
Before I Forget,Xbox Series X,Plug In Digital,"['Adventure', 'General']",,"Apr 29, 2021",88,Generally favorable reviews,4,0,0,0.0,No user score yet,0.0,1,0.0,0.0,2021-04-29
